1.319934654562E-1,3.019901579627E0
1.341259578545E-1,2.976342785490E0
1.367057637300E-1,2.863192661885E0
1.396637712067E-1,2.794685830615E0
1.421056790690E-1,2.794716836473E0
1.444100282299E-1,2.790235096383E0
1.469895626560E-1,2.772296283068E0
1.503257174439E-1,2.763395864647E0
1.529395906486E-1,2.763428682433E0
1.575138687569E-1,2.763486114497E0
1.602653142356E-1,2.763520660674E0
1.630862787647E-1,2.532701366071E0
1.661129366536E-1,2.512361626322E0
1.687612029269E-1,2.512391855441E0
1.723036754082E-1,2.516494165401E0
1.754678241362E-1,2.520598841155E0
1.786319864367E-1,2.520635077525E0
1.818994093775E-1,2.496359087965E0
1.841696369193E-1,2.413119080674E0
1.867494970847E-1,2.306429235434E0
1.892257980156E-1,2.306455184701E0
1.911518098506E-1,2.306475367665E0
1.932153803872E-1,2.310225927956E0
1.947630413240E-1,2.317718192022E0
1.966890667315E-1,2.313997412056E0
1.984087880181E-1,2.295400420601E0
2.000599403272E-1,2.218855051641E0
2.020207795498E-1,2.107088843254E0
2.040155910943E-1,2.103706857390E0
2.058040170830E-1,2.107125061655E0
2.074548843702E-1,2.107140866243E0
2.093809233502E-1,2.100362463561E0
2.107566053722E-1,2.110579161435E0
2.122575308692E-1,2.115714653924E0
2.143679735198E-1,2.113456507668E0
2.161801665158E-1,2.120316635620E0
2.187494081318E-1,2.115777057989E0
2.211121671286E-1,2.118080729946E0
2.233143406031E-1,2.122671265816E0
2.254706441392E-1,2.124980450987E0
2.274893197544E-1,2.124999940570E0
2.290721811643E-1,2.115876290858E0
2.308389749716E-1,2.004917893531E0
2.328580217548E-1,1.918292811097E0
2.347856455121E-1,1.763677291271E0
2.368739453204E-1,1.602419743493E0
2.387786929522E-1,1.462193546030E0
2.406834043725E-1,1.340001273939E0
2.427938379703E-1,1.340014122606E0
2.448584197354E-1,1.335702132231E0
2.464641482178E-1,1.341481108100E0
2.485516513728E-1,1.340049177748E0
2.501115461284E-1,1.338615567040E0
2.520614032567E-1,1.338627425810E0
2.541492323154E-1,1.286322703649E0
2.562370070567E-1,1.244078576189E0
2.581640966942E-1,1.218879269019E0
2.602057570694E-1,1.212341585252E0
2.615591510999E-1,1.217585440215E0
2.631878915010E-1,1.212358011344E0
2.646560282741E-1,1.211060502252E0
2.662617929680E-1,1.211069337697E0
2.679363580431E-1,1.213691190051E0
2.700926163148E-1,1.221574938084E0
2.723178560252E-1,1.205894140574E0
2.759881572199E-1,1.208515747139E0
2.777776732537E-1,1.175139212298E0
2.792692112192E-1,1.111115505189E0
2.809212351253E-1,1.061961684998E0
2.827105610487E-1,1.056264446678E0
2.845456392230E-1,1.066566092488E0
2.863807988732E-1,1.066574985369E0
2.881700523735E-1,1.070036899606E0
2.898675750499E-1,1.070045152288E0
2.919092263723E-1,1.065453153215E0
2.932626656672E-1,1.064312312351E0
2.948913879626E-1,1.062029091668E0
2.965888744275E-1,1.066624453378E0
2.979656968091E-1,1.010687946426E0
2.990904653780E-1,9.262237138873E-1
3.007651843520E-1,9.113811680867E-1
3.027158562395E-1,8.271590006096E-1
3.046895490985E-1,7.434752311655E-1
3.067323410836E-1,6.463055755517E-1
3.085920063775E-1,5.363982791620E-1
3.105890189531E-1,4.607987654321E-1
3.125401796960E-1,3.945765919152E-1
3.144454252361E-1,3.393305887009E-1
3.163272695838E-1,3.083044316306E-1
3.183698352470E-1,2.753275993827E-1
3.202058006034E-1,2.501534025300E-1
3.222940642002E-1,2.282629112361E-1
3.242217513277E-1,2.082878669890E-1
3.263333074824E-1,1.822397731351E-1
3.279399593585E-1,1.639788702533E-1
3.299593863626E-1,1.499521090028E-1
3.319559100827E-1,1.365354569272E-1
3.339524700143E-1,1.237845791913E-1
3.357424477449E-1,1.139300899193E-1
3.378077446875E-1,1.042968428755E-1
3.397813560706E-1,9.465861741693E-2
3.415025424730E-1,8.684165403690E-2
3.435679208914E-1,7.873164381067E-2
3.454500639841E-1,6.903414439171E-2
3.474927925991E-1,6.046595933787E-2
3.495811105132E-1,5.481914090902E-2
3.513940458452E-1,5.034638348100E-2
3.532759173516E-1,4.559541851052E-2
3.552723867544E-1,4.178512791757E-2
3.571541767848E-1,3.821080196673E-2
3.591278062736E-1,3.460503244046E-2
3.610095238810E-1,3.191884912524E-2
3.630749747225E-1,2.868962751736E-2
3.649798581475E-1,2.575931651240E-2
3.669537954342E-1,2.248937420454E-2
3.688357303107E-1,2.021411325105E-2
3.708551754207E-1,1.844520541947E-2
3.726681922286E-1,1.677675879521E-2
3.745958703031E-1,1.532514613629E-2
3.766611853515E-1,1.399914332872E-2
3.785659601419E-1,1.273286708039E-2
3.805853690403E-1,1.166881569559E-2
3.824901709894E-1,1.057907499548E-2
3.843031063214E-1,9.715915969578E-3
3.864142822553E-1,8.894398075299E-3
3.882963800836E-1,7.840990123756E-3
3.899714883314E-1,7.366030265996E-3
3.905686485009E-1,6.750427349130E-3
3.924274809299E-1,6.186307815759E-3
3.942634281806E-1,5.632796722308E-3
3.962369580878E-1,5.162078005499E-3
3.981187752768E-1,4.705276505032E-3
3.999088254305E-1,4.293520084612E-3
4.019742038489E-1,3.892554762395E-3
4.038330181722E-1,3.574957439846E-3
4.056919230243E-1,3.248086507447E-3
4.077343076299E-1,2.963851461114E-3
4.095931400589E-1,2.716168400954E-3
4.115208181334E-1,2.481151346545E-3
4.136091269947E-1,2.251865655576E-3
4.154450108752E-1,2.065906363756E-3
4.173956103396E-1,1.891224691261E-3
4.193462912800E-1,1.714605195124E-3
4.211894347681E-1,1.566821595167E-3
4.232141804614E-1,1.437109230204E-3
4.252696778331E-1,1.304911715478E-3
4.270184571656E-1,1.191719724421E-3
4.291965860829E-1,1.086781931126E-3
4.310373663045E-1,9.925115925219E-4
4.329087892847E-1,9.090336350348E-4
4.349949536195E-1,8.254131143728E-4
4.367436966454E-1,7.570787392569E-4
4.387991940171E-1,6.874362057052E-4
4.407013565736E-1,6.241995491241E-4
4.425727190428E-1,5.758317789948E-4
4.447515619899E-1,4.823426996745E-4
4.465003655268E-1,4.392356497889E-4
4.484025280833E-1,3.988307457217E-4
4.504886319071E-1,3.647605451951E-4
4.523600669895E-1,3.336004733626E-4
4.542622416482E-1,3.024768519311E-4
4.563176543045E-1,2.774357576769E-4
4.581277312564E-1,2.544674521401E-4
4.602139318978E-1,2.300630988476E-4
4.619320321650E-1,2.104095583305E-4
4.638341463127E-1,1.921581303790E-4
4.650001807340E-1,1.770125214836E-4
4.661355723966E-1,1.625915706738E-4
4.680680993612E-1,1.530481922003E-4
4.698785272769E-1,1.346346021938E-4
4.718420116573E-1,1.224259334800E-4
4.737748653812E-1,1.108443109798E-4
4.756156092962E-1,1.016677646943E-4
4.777630349439E-1,9.311683036745E-5
4.795118384807E-1,8.479496324986E-5
4.815366204806E-1,7.743968864362E-5
4.831933989239E-1,7.072230614514E-5
4.851875623695E-1,6.421664977022E-5
4.870589974520E-1,5.873087164524E-5
4.885627073284E-1,5.196328275165E-5
4.893911873166E-1,4.912485335976E-5
4.911706094076E-1,4.499305165864E-5
4.931648091599E-1,4.067803751472E-5
4.950975418618E-1,3.736419274608E-5
4.970303108703E-1,3.417232489795E-5
4.989938073529E-1,3.102885120217E-5
5.009265642593E-1,2.841909099283E-5
5.028287631223E-1,2.569357542350E-5
5.048231565098E-1,2.270022082190E-5
5.069403387714E-1,1.976879670497E-5
5.087504641322E-1,1.802801002399E-5
5.106525903820E-1,1.644051917412E-5
5.125240496689E-1,1.499281577361E-5
5.145794986318E-1,1.369231264065E-5
5.164509337142E-1,1.252263173339E-5
5.183530962707E-1,1.137068576976E-5
